Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:41.095, true,
2018-08-24 14:06:41.194, true,
2018-08-24 14:06:41.293, true,
2018-08-24 14:06:41.393, true,
2018-08-24 14:06:41.492, true,
2018-08-24 14:06:41.591, true,
2018-08-24 14:06:41.690, true,
2018-08-24 14:06:41.789, true,
2018-08-24 14:06:41.888, true,
2018-08-24 14:06:41.987, true,
2018-08-24 14:06:42.086, true,
2018-08-24 14:06:42.185, true,
2018-08-24 14:06:42.284, true,
2018-08-24 14:06:42.384, true,
2018-08-24 14:06:42.483, true,
2018-08-24 14:06:42.582, true,
2018-08-24 14:06:42.681, true,
2018-08-24 14:06:42.780, true,
2018-08-24 14:06:42.879, true,
2018-08-24 14:06:42.978, true,
2018-08-24 14:06:43.078, true,
2018-08-24 14:06:43.177, true,
2018-08-24 14:06:43.276, true,
2018-08-24 14:06:43.375, true,
2018-08-24 14:06:43.474, true,
2018-08-24 14:06:43.573, true,
2018-08-24 14:06:43.672, true,
2018-08-24 14:06:43.771, true,
2018-08-24 14:06:43.871, true,
2018-08-24 14:06:43.970, true,
2018-08-24 14:06:44.069, true,
2018-08-24 14:06:44.168, true,
2018-08-24 14:06:44.267, true,
2018-08-24 14:06:44.366, true,
2018-08-24 14:06:44.465, true,
2018-08-24 14:06:44.565, true,
2018-08-24 14:06:44.664, true,
2018-08-24 14:06:44.763, true,
2018-08-24 14:06:44.862, true,
2018-08-24 14:06:44.961, true,
2018-08-24 14:06:45.060, true,
2018-08-24 14:06:45.159, true,
2018-08-24 14:06:45.259, true,
2018-08-24 14:06:45.358, true,
2018-08-24 14:06:45.457, true,
2018-08-24 14:06:45.556, true,
2018-08-24 14:06:45.656, true,
2018-08-24 14:06:45.755, true,
2018-08-24 14:06:45.854, true,
2018-08-24 14:06:45.953, true,
2018-08-24 14:06:46.052, true,
2018-08-24 14:06:46.151, true,
2018-08-24 14:06:46.250, true,
2018-08-24 14:06:46.349, true,
2018-08-24 14:06:46.448, true,
2018-08-24 14:06:46.547, true,
2018-08-24 14:06:46.646, true,
2018-08-24 14:06:46.745, true,
2018-08-24 14:06:46.844, true,
2018-08-24 14:06:46.944, true,
2018-08-24 14:06:47.043, true,
2018-08-24 14:06:47.142, true,
2018-08-24 14:06:47.241, true,
2018-08-24 14:06:47.340, true,
2018-08-24 14:06:47.439, true,
2018-08-24 14:06:47.538, true,
2018-08-24 14:06:47.637, true,
2018-08-24 14:06:47.737, true,
2018-08-24 14:06:47.836, true,
2018-08-24 14:06:47.935, true,
2018-08-24 14:06:48.034, true,
2018-08-24 14:06:48.133, true,
2018-08-24 14:06:48.232, true,
2018-08-24 14:06:48.331, true,
2018-08-24 14:06:48.431, true,
2018-08-24 14:06:48.530, true,
2018-08-24 14:06:48.629, true,
2018-08-24 14:06:48.728, true,
2018-08-24 14:06:48.827, true,
2018-08-24 14:06:48.926, true,
