Time, CONVEYOR2_PROXIMITY_SENSOR2,CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:31.677, false,false,
2018-08-24 14:06:31.776, false,false,
2018-08-24 14:06:31.875, false,false,
2018-08-24 14:06:31.975, false,false,
2018-08-24 14:06:32.074, false,false,
2018-08-24 14:06:32.173, false,false,
2018-08-24 14:06:32.272, false,false,
2018-08-24 14:06:32.371, false,false,
2018-08-24 14:06:32.470, false,false,
2018-08-24 14:06:32.569, false,false,
2018-08-24 14:06:32.668, false,false,
2018-08-24 14:06:32.768, false,false,
2018-08-24 14:06:32.867, false,false,
2018-08-24 14:06:32.966, false,false,
2018-08-24 14:06:33.065, false,false,
2018-08-24 14:06:33.164, false,false,
2018-08-24 14:06:33.263, false,false,
2018-08-24 14:06:33.362, false,false,
2018-08-24 14:06:33.461, false,false,
2018-08-24 14:06:33.561, false,false,
2018-08-24 14:06:33.660, false,false,
2018-08-24 14:06:33.759, false,false,
2018-08-24 14:06:33.858, false,false,
2018-08-24 14:06:33.957, false,false,
2018-08-24 14:06:34.056, false,false,
2018-08-24 14:06:34.155, false,false,
2018-08-24 14:06:34.255, false,false,
2018-08-24 14:06:34.354, false,false,
2018-08-24 14:06:34.453, false,false,
2018-08-24 14:06:34.552, false,false,
2018-08-24 14:06:34.651, false,false,
2018-08-24 14:06:34.750, false,false,
2018-08-24 14:06:34.849, false,false,
2018-08-24 14:06:34.948, false,false,
2018-08-24 14:06:35.047, false,false,
2018-08-24 14:06:35.146, false,false,
2018-08-24 14:06:35.246, false,false,
2018-08-24 14:06:35.345, false,false,
2018-08-24 14:06:35.444, false,false,
2018-08-24 14:06:35.544, false,false,
2018-08-24 14:06:35.643, false,false,
2018-08-24 14:06:35.742, false,false,
2018-08-24 14:06:35.841, false,false,
2018-08-24 14:06:35.940, false,false,
2018-08-24 14:06:36.039, false,false,
2018-08-24 14:06:36.138, false,false,
2018-08-24 14:06:36.237, false,false,
2018-08-24 14:06:36.336, false,false,
2018-08-24 14:06:36.436, false,false,
2018-08-24 14:06:36.535, false,false,
2018-08-24 14:06:36.634, false,false,
2018-08-24 14:06:36.733, false,false,
2018-08-24 14:06:36.832, false,false,
2018-08-24 14:06:36.931, false,false,
2018-08-24 14:06:37.030, false,false,
2018-08-24 14:06:37.129, false,false,
2018-08-24 14:06:37.229, false,false,
2018-08-24 14:06:37.328, false,false,
2018-08-24 14:06:37.427, false,false,
2018-08-24 14:06:37.526, false,false,
2018-08-24 14:06:37.625, false,false,
2018-08-24 14:06:37.724, false,false,
2018-08-24 14:06:37.824, false,false,
2018-08-24 14:06:37.923, false,false,
2018-08-24 14:06:38.022, false,false,
2018-08-24 14:06:38.121, false,false,
2018-08-24 14:06:38.220, false,false,
2018-08-24 14:06:38.319, false,false,
2018-08-24 14:06:38.418, false,false,
2018-08-24 14:06:38.517, false,false,
2018-08-24 14:06:38.617, false,false,
2018-08-24 14:06:38.716, false,false,
2018-08-24 14:06:38.815, false,false,
2018-08-24 14:06:38.914, false,false,
2018-08-24 14:06:39.013, false,false,
2018-08-24 14:06:39.112, false,false,
2018-08-24 14:06:39.211, false,false,
2018-08-24 14:06:39.311, false,false,
2018-08-24 14:06:39.410, false,false,
2018-08-24 14:06:39.509, false,false,
2018-08-24 14:06:39.608, false,false,
2018-08-24 14:06:39.707, false,false,
2018-08-24 14:06:39.806, false,false,
2018-08-24 14:06:39.905, false,false,
2018-08-24 14:06:40.004, false,false,
2018-08-24 14:06:40.104, false,false,
2018-08-24 14:06:40.203, false,false,
2018-08-24 14:06:40.302, false,false,
2018-08-24 14:06:40.401, false,false,
2018-08-24 14:06:40.500, false,false,
2018-08-24 14:06:40.599, false,false,
2018-08-24 14:06:40.698, false,false,
2018-08-24 14:06:40.797, false,false,
2018-08-24 14:06:40.897, false,false,
2018-08-24 14:06:40.996, false,false,
2018-08-24 14:06:41.095, false,false,
2018-08-24 14:06:41.194, false,false,
2018-08-24 14:06:41.293, false,false,
2018-08-24 14:06:41.392, false,false,
2018-08-24 14:06:41.491, false,false,
2018-08-24 14:06:41.590, false,false,
2018-08-24 14:06:41.690, false,false,
2018-08-24 14:06:41.789, false,false,
2018-08-24 14:06:41.888, false,false,
2018-08-24 14:06:41.987, false,false,
2018-08-24 14:06:42.086, false,false,
2018-08-24 14:06:42.185, false,false,
2018-08-24 14:06:42.284, false,false,
2018-08-24 14:06:42.384, false,false,
2018-08-24 14:06:42.483, false,false,
2018-08-24 14:06:42.582, false,false,
2018-08-24 14:06:42.681, false,false,
2018-08-24 14:06:42.780, false,false,
2018-08-24 14:06:42.879, false,false,
2018-08-24 14:06:42.978, false,false,
2018-08-24 14:06:43.078, false,false,
2018-08-24 14:06:43.177, false,false,
2018-08-24 14:06:43.276, false,false,
2018-08-24 14:06:43.375, false,false,
2018-08-24 14:06:43.474, false,false,
2018-08-24 14:06:43.573, false,false,
2018-08-24 14:06:43.672, false,false,
2018-08-24 14:06:43.771, false,false,
2018-08-24 14:06:43.871, false,false,
2018-08-24 14:06:43.970, false,false,
2018-08-24 14:06:44.069, false,false,
2018-08-24 14:06:44.168, false,false,
2018-08-24 14:06:44.267, false,false,
2018-08-24 14:06:44.366, false,false,
2018-08-24 14:06:44.465, false,false,
2018-08-24 14:06:44.565, false,false,
2018-08-24 14:06:44.664, false,false,
2018-08-24 14:06:44.763, false,false,
2018-08-24 14:06:44.862, false,false,
2018-08-24 14:06:44.961, false,false,
2018-08-24 14:06:45.060, false,false,
2018-08-24 14:06:45.159, false,false,
2018-08-24 14:06:45.259, false,false,
2018-08-24 14:06:45.358, false,false,
2018-08-24 14:06:45.457, false,false,
2018-08-24 14:06:45.556, false,false,
2018-08-24 14:06:45.655, false,false,
2018-08-24 14:06:45.754, false,false,
2018-08-24 14:06:45.853, false,false,
2018-08-24 14:06:45.952, false,false,
2018-08-24 14:06:46.051, false,false,
2018-08-24 14:06:46.151, false,false,
2018-08-24 14:06:46.250, false,false,
2018-08-24 14:06:46.349, false,false,
2018-08-24 14:06:46.448, false,false,
2018-08-24 14:06:46.547, false,false,
2018-08-24 14:06:46.646, false,false,
2018-08-24 14:06:46.745, false,false,
2018-08-24 14:06:46.844, false,false,
2018-08-24 14:06:46.944, false,false,
2018-08-24 14:06:47.043, false,false,
2018-08-24 14:06:47.142, false,false,
2018-08-24 14:06:47.241, false,false,
2018-08-24 14:06:47.340, false,false,
2018-08-24 14:06:47.439, false,false,
2018-08-24 14:06:47.538, false,false,
2018-08-24 14:06:47.637, false,false,
2018-08-24 14:06:47.737, false,false,
2018-08-24 14:06:47.836, false,false,
2018-08-24 14:06:47.935, false,false,
2018-08-24 14:06:48.034, false,false,
2018-08-24 14:06:48.133, false,false,
2018-08-24 14:06:48.232, false,false,
2018-08-24 14:06:48.331, false,false,
2018-08-24 14:06:48.431, false,false,
2018-08-24 14:06:48.530, false,false,
2018-08-24 14:06:48.629, false,false,
2018-08-24 14:06:48.728, false,false,
2018-08-24 14:06:48.827, false,false,
2018-08-24 14:06:48.926, false,false,
2018-08-24 14:06:49.025, false,false,
2018-08-24 14:06:49.124, false,false,
2018-08-24 14:06:49.224, false,false,
2018-08-24 14:06:49.323, false,false,
2018-08-24 14:06:49.422, false,false,
2018-08-24 14:06:49.521, false,false,
2018-08-24 14:06:49.620, false,false,
2018-08-24 14:06:49.719, false,false,
2018-08-24 14:06:49.818, false,false,
2018-08-24 14:06:49.917, false,false,
2018-08-24 14:06:50.017, false,false,
2018-08-24 14:06:50.116, false,false,
2018-08-24 14:06:50.215, false,false,
2018-08-24 14:06:50.314, false,false,
2018-08-24 14:06:50.413, false,false,
2018-08-24 14:06:50.512, false,false,
2018-08-24 14:06:50.611, false,false,
2018-08-24 14:06:50.710, false,false,
2018-08-24 14:06:50.810, false,false,
2018-08-24 14:06:50.909, false,false,
2018-08-24 14:06:51.008, false,false,
2018-08-24 14:06:51.107, false,false,
2018-08-24 14:06:51.206, false,false,
2018-08-24 14:06:51.305, false,false,
2018-08-24 14:06:51.404, false,false,
2018-08-24 14:06:51.503, false,false,
2018-08-24 14:06:51.603, false,false,
2018-08-24 14:06:51.702, false,false,
2018-08-24 14:06:51.801, false,false,
2018-08-24 14:06:51.900, false,false,
2018-08-24 14:06:51.999, false,false,
2018-08-24 14:06:52.098, false,false,
2018-08-24 14:06:52.197, false,false,
2018-08-24 14:06:52.296, false,false,
2018-08-24 14:06:52.396, false,false,
2018-08-24 14:06:52.495, false,false,
2018-08-24 14:06:52.594, false,false,
2018-08-24 14:06:52.693, false,false,
2018-08-24 14:06:52.792, false,false,
2018-08-24 14:06:52.891, false,false,
2018-08-24 14:06:52.990, false,false,
2018-08-24 14:06:53.089, false,false,
2018-08-24 14:06:53.189, false,false,
2018-08-24 14:06:53.288, false,false,
2018-08-24 14:06:53.387, false,false,
2018-08-24 14:06:53.486, false,false,
2018-08-24 14:06:53.585, false,false,
2018-08-24 14:06:53.684, false,false,
2018-08-24 14:06:53.783, false,false,
2018-08-24 14:06:53.882, false,false,
2018-08-24 14:06:53.982, false,false,
2018-08-24 14:06:54.081, false,false,
2018-08-24 14:06:54.180, false,false,
2018-08-24 14:06:54.279, false,false,
2018-08-24 14:06:54.378, false,false,
2018-08-24 14:06:54.477, false,false,
2018-08-24 14:06:54.576, false,false,
2018-08-24 14:06:54.675, false,false,
2018-08-24 14:06:54.774, false,false,
2018-08-24 14:06:54.874, false,false,
2018-08-24 14:06:54.973, false,false,
2018-08-24 14:06:55.072, false,false,
2018-08-24 14:06:55.171, false,false,
2018-08-24 14:06:55.270, false,false,
2018-08-24 14:06:55.369, false,false,
2018-08-24 14:06:55.468, false,false,
2018-08-24 14:06:55.567, false,false,
2018-08-24 14:06:55.667, false,false,
2018-08-24 14:06:55.766, false,false,
2018-08-24 14:06:55.865, false,false,
2018-08-24 14:06:55.964, false,false,
2018-08-24 14:06:56.063, false,false,
2018-08-24 14:06:56.162, false,false,
2018-08-24 14:06:56.261, false,false,
2018-08-24 14:06:56.360, false,false,
2018-08-24 14:06:56.460, false,false,
2018-08-24 14:06:56.559, false,false,
2018-08-24 14:06:56.658, false,false,
2018-08-24 14:06:56.757, false,false,
2018-08-24 14:06:56.856, false,false,
2018-08-24 14:06:56.955, false,false,
2018-08-24 14:06:57.054, false,false,
2018-08-24 14:06:57.153, false,false,
2018-08-24 14:06:57.252, false,false,
2018-08-24 14:06:57.352, false,false,
2018-08-24 14:06:57.451, false,false,
2018-08-24 14:06:57.550, false,false,
2018-08-24 14:06:57.649, false,false,
2018-08-24 14:06:57.748, false,false,
2018-08-24 14:06:57.847, false,false,
2018-08-24 14:06:57.946, false,false,
2018-08-24 14:06:58.045, false,false,
2018-08-24 14:06:58.145, false,false,
2018-08-24 14:06:58.244, false,false,
2018-08-24 14:06:58.343, false,false,
2018-08-24 14:06:58.442, false,false,
2018-08-24 14:06:58.541, false,false,
2018-08-24 14:06:58.640, false,false,
2018-08-24 14:06:58.739, false,false,
2018-08-24 14:06:58.838, false,false,
2018-08-24 14:06:58.938, false,false,
2018-08-24 14:06:59.037, false,false,
2018-08-24 14:06:59.136, false,false,
2018-08-24 14:06:59.235, false,false,
2018-08-24 14:06:59.334, false,false,
2018-08-24 14:06:59.433, false,false,
2018-08-24 14:06:59.532, false,false,
2018-08-24 14:06:59.632, false,false,
2018-08-24 14:06:59.731, false,false,
2018-08-24 14:06:59.830, false,false,
2018-08-24 14:06:59.929, false,false,
2018-08-24 14:07:00.028, false,false,
2018-08-24 14:07:00.127, false,false,
2018-08-24 14:07:00.226, false,false,
2018-08-24 14:07:00.325, false,false,
2018-08-24 14:07:00.424, false,false,
2018-08-24 14:07:00.524, false,false,
2018-08-24 14:07:00.623, false,false,
2018-08-24 14:07:00.722, false,false,
2018-08-24 14:07:00.821, false,false,
2018-08-24 14:07:00.920, false,false,
2018-08-24 14:07:01.019, false,false,
2018-08-24 14:07:01.118, false,false,
2018-08-24 14:07:01.217, false,false,
2018-08-24 14:07:01.316, false,false,
2018-08-24 14:07:01.416, false,false,
2018-08-24 14:07:01.515, false,false,
2018-08-24 14:07:01.614, false,false,
2018-08-24 14:07:01.713, false,false,
2018-08-24 14:07:01.812, false,false,
2018-08-24 14:07:01.911, false,false,
2018-08-24 14:07:02.010, false,false,
2018-08-24 14:07:02.109, false,false,
2018-08-24 14:07:02.209, false,false,
2018-08-24 14:07:02.308, false,false,
2018-08-24 14:07:02.407, false,false,
2018-08-24 14:07:02.506, false,false,
2018-08-24 14:07:02.605, false,false,
2018-08-24 14:07:02.704, false,false,
2018-08-24 14:07:02.806, false,false,
2018-08-24 14:07:02.905, false,false,
2018-08-24 14:07:03.004, false,false,
2018-08-24 14:07:03.103, false,false,
2018-08-24 14:07:03.202, false,false,
2018-08-24 14:07:03.301, false,false,
2018-08-24 14:07:03.400, false,false,
2018-08-24 14:07:03.499, false,false,
2018-08-24 14:07:03.598, false,false,
2018-08-24 14:07:03.697, false,false,
2018-08-24 14:07:03.796, false,false,
2018-08-24 14:07:03.895, false,false,
2018-08-24 14:07:03.995, false,false,
2018-08-24 14:07:04.094, false,false,
2018-08-24 14:07:04.193, false,true,
2018-08-24 14:07:04.292, false,true,
2018-08-24 14:07:04.391, false,true,
2018-08-24 14:07:04.490, false,true,
2018-08-24 14:07:04.589, false,true,
2018-08-24 14:07:04.688, false,true,
2018-08-24 14:07:04.787, false,true,
2018-08-24 14:07:04.886, false,true,
2018-08-24 14:07:04.985, false,true,
2018-08-24 14:07:05.084, false,true,
2018-08-24 14:07:05.184, false,true,
